time,x,y,z
8035,-0.07254,9.78668,-0.11498
8086,-0.07253,9.78668,-0.11976
8136,-0.07728,9.79152,-0.11499
8190,-0.08677,9.80115,-0.12454
8235,-0.08202,9.79636,-0.11021
8285,-0.08682,9.79636,-0.12932
8336,-0.06770,9.79144,-0.11498
8386,-0.07745,9.77240,-0.11976
8436,-0.06756,9.80579,-0.11020
8486,-0.08212,9.78676,-0.12454
8535,-0.07724,9.79627,-0.12454
8585,-0.07261,9.77715,-0.10543
8636,-0.08692,9.78678,-0.13410
8686,-0.07732,9.78674,-0.11499
8736,-0.07732,9.78674,-0.11499
8786,-0.07244,9.79626,-0.11498
8836,-0.08211,9.78677,-0.11977
8886,-0.08214,9.78204,-0.10066
8936,-0.08685,9.79161,-0.11499
8985,-0.08200,9.80108,-0.13410
9036,-0.07722,9.79633,-0.10065
9085,-0.08685,9.79160,-0.11499
9136,-0.07723,9.79629,-0.11498
9189,-0.08694,9.78204,-0.11499
9235,-0.09182,9.77252,-0.11977
9286,-0.07731,9.78676,-0.11021
9336,-0.08677,9.80117,-0.11977
9386,-0.07254,9.78667,-0.12932
9436,-0.07722,9.79632,-0.11021
9486,-0.07247,9.79151,-0.10543
9535,-0.08203,9.79633,-0.12454
9585,-0.07749,9.76763,-0.11499
9636,-0.08688,9.78687,-0.10544
9686,-0.07263,9.77711,-0.11976
9736,-0.08200,9.80107,-0.12932
9785,-0.07725,9.79626,-0.12454
9836,-0.07245,9.79623,-0.11976
9886,-0.08201,9.79636,-0.11499
9935,-0.07272,9.76754,-0.13409
9985,-0.08206,9.79157,-0.11977
10035,-0.08219,9.77723,-0.11977
10085,-0.08211,9.78677,-0.11976
10136,-0.08689,9.78684,-0.11021
10190,-0.06779,9.78187,-0.11498
10236,-0.08210,9.78681,-0.10543
10285,-0.07714,9.80588,-0.10543
10335,-0.07724,9.79627,-0.12454
10386,-0.08207,9.79155,-0.11976
10435,-0.07733,9.78671,-0.12454
10485,-0.05808,9.79611,-0.11497
